amp,ROI,position,subject
0.787021325947396,7,3,8
0,0,0,0
0,0,0,0
0,0,0,0
1.15107595947068,7,3,9
0,0,0,0
0,0,0,0
0,0,0,0
0.931932192663246,8,3,1
0,0,0,0
0,0,0,0
0,0,0,0
0.378306184385446,8,3,2
0,0,0,0
0,0,0,0
0,0,0,0
0.501084339035248,8,3,3
0,0,0,0
0,0,0,0
0,0,0,0
0.345137779925421,8,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0.663737228891715,8,3,5
0,0,0,0
0,0,0,0
0,0,0,0
0.588705161585496,8,3,6
0,0,0,0
0,0,0,0
0,0,0,0
0.531988171876849,8,3,7
0,0,0,0
0,0,0,0
0,0,0,0
1.35290375089079,8,3,8
0,0,0,0
0,0,0,0
0,0,0,0
0.688544804517898,8,3,9
0,0,0,0
0,0,0,0
0,0,0,0
0.628564653625821,9,3,1
0,0,0,0
0,0,0,0
0,0,0,0
0.325606348620636,9,3,2
0,0,0,0
0,0,0,0
0,0,0,0
0.72440943779385,9,3,3
0,0,0,0
0,0,0,0
0,0,0,0
0.549537668804205,9,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0.758061370178856,9,3,5
0,0,0,0
0,0,0,0
0,0,0,0
0.631902375430828,9,3,6
0,0,0,0
0,0,0,0
0,0,0,0
0.678128607229598,9,3,7
0,0,0,0
0,0,0,0
0,0,0,0
1.33915335722964,9,3,8
0,0,0,0
0,0,0,0
0,0,0,0
0.732124165215377,9,3,9
0,0,0,0
0,0,0,0
0,0,0,0
0.540308446195298,1,4,1
0,0,0,0
0,0,0,0
0,0,0,0
0.900182180763672,1,4,2
0,0,0,0
0,0,0,0
0,0,0,0
0.497513499667164,1,4,3
0,0,0,0
0,0,0,0
0,0,0,0
0.870332379978343,1,4,4
0,0,0,0
0,0,0,0
0,0,0,0
0.406372076350567,1,4,5
0,0,0,0
0,0,0,0
0,0,0,0
0.793069700189999,1,4,6
0,0,0,0
0,0,0,0
0,0,0,0
0.409284274389123,1,4,7
0,0,0,0
