base,ROI,position,subject
0,0,0,0
0,0,0,0
0,0,0,0
-0.0500625055627317,2,4,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.333743148593325,3,4,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.301113724281933,3,4,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.0352084352406463,3,4,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.305945514187026,3,4,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.127954717906214,3,4,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.234661609151141,3,4,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.0444312911272059,3,4,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.349040793994186,3,4,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.0536163853876769,3,4,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.0235541251979772,4,4,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.215684329670002,4,4,2
0,0,0,0
0,0,0,0
0,0,0,0
0.130179410714058,4,4,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.137150436834785,4,4,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.0369035162228936,4,4,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.173880298660428,4,4,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.0383052537684224,4,4,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.100170908290367,4,4,8
0,0,0,0
0,0,0,0
0,0,0,0
0.0639543471432525,4,4,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.153876339102135,5,4,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.268550606519539,5,4,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.12667443844118,5,4,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.33502819398613,5,4,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.138931957541508,5,4,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.115968869033546,5,4,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.355575145190363,5,4,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.431906172451234,5,4,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.130216171981148,5,4,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.0484904063789878,6,4,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.23989534953995,6,4,2
0,0,0,0
0,0,0,0
0,0,0,0
